URL,Text
http://www.gousfbulls.com/ViewArticle.dbml?SPSID=36650&SPID=2918&DB_LANG=C&DB_OEM_ID=7700&ATCLID=220430&Q_SEASON=2012,Agustin Moreno
http://www.gousfbulls.com/ViewArticle.dbml?SPSID=36745&SPID=2931&DB_LANG=C&DB_OEM_ID=7700&ATCLID=205503266&Q_SEASON=2012,Matt Hill
http://www.gulfsouthconference.org/,Gulf South
http://www.hccfl.edu/,Hillsborough Community College
http://www.hccfl.edu/athletics/tennis.aspx,Women's Tennis
http://www.hccfl.edu/athletics/tennis/contact-coach.aspx,Shaimaa Elsisi
http://www.hurricanesports.com/SportSelect.dbml?&DB_OEM_ID=28700&SPID=103771&SPSID=658407,Men's Tennis
http://www.hurricanesports.com/SportSelect.dbml?DB_OEM_ID=28700&SPID=103772&SPSID=658416,Women's Tennis
http://www.hurricanesports.com/ViewArticle.dbml?SPSID=658413&SPID=103771&DB_LANG=C&DB_OEM_ID=28700&ATCLID=205557470&Q_SEASON=2012,Mario Rincon
http://www.hurricanesports.com/ViewArticle.dbml?SPSID=668506&SPID=103772&DB_LANG=C&DB_OEM_ID=28700&ATCLID=205554609&Q_SEASON=2012,Paige Yaroshuk-Tews
http://www.kuseahawks.com/coaches.aspx?rc=50,Daniel Finn
http://www.kuseahawks.com/index.aspx?path=mten,Men's Tennis
http://www.kuseahawks.com/index.aspx?path=wten,Women's Tennis
http://www.lynn.edu/,Lynn University
http://www.lynnfightingknights.com/inside-athletics/people/MPerez,Mike Perez
http://www.lynnfightingknights.com/sports/tennis-men,Men's Tennis
http://www.lynnfightingknights.com/sports/tennis-women,Women's Tennis
http://www.meacsports.com/,Mid-Eastern
http://www.miami.edu/,University of Miami
http://www.nova.edu/,Nova Southeastern University
http://www.nsusharks.com/coaches.aspx?path=wten&,Michael Coleman
http://www.nsusharks.com/index.aspx?tab=tennis&path=wten,Women's Tennis
http://www.pba.edu/,Palm Beach Atlantic
http://www.rollinssports.com/SportSelect.dbml?&DB_OEM_ID=19500&SPID=11248&SPSID=92619,Men's Tennis
http://www.rollinssports.com/SportSelect.dbml?&DB_OEM_ID=19500&SPID=11249&SPSID=92628,Women's Tennis
http://www.rollinssports.com/ViewArticle.dbml?SPSID=107510&SPID=11249&DB_LANG=C&DB_OEM_ID=19500&ATCLID=1550101&Q_SEASON=2012,Beverly Buckley
http://www.rollinssports.com/ViewArticle.dbml?SPSID=107511&SPID=11248&DB_LANG=C&DB_OEM_ID=19500&ATCLID=1550107&Q_SEASON=2012,Ron Bohrnstedt
http://www.saintleo.edu/,Saint Leo University
http://www.saintleolions.com/sports/mten/coaches/index,James Bryce
http://www.saintleolions.com/sports/mten/index,Men's Tennis
http://www.saintleolions.com/sports/wten/2012-13/roster,Women's Tennis
